

gen best mean std
0 13.683623 -6.144335 3.696446
1 16.156159 -3.903056 5.056629
2 16.156159 -2.610087 5.606668
3 16.156159 0.011307 6.050924
4 22.488711 3.124958 6.377922
5 22.488711 6.491603 6.093884
6 25.14369 10.306447 5.609722
7 29.403628 13.337419 4.276932
8 33.911962 15.259684 4.903831
9 35.994097 16.894657 5.300869
10 35.994097 17.607143 5.150099
11 35.994097 18.031886 5.214038
12 35.994097 19.169905 5.352317
13 35.994097 20.36518 5.111106
14 35.994097 21.41 4.695199
15 35.994097 22.3139 4.905423
16 35.994097 22.487218 5.245186
17 35.994097 23.334741 4.779513
18 35.994097 23.747682 4.737366
19 35.994097 24.858741 3.830297
20 35.994097 25.066289 4.802159
21 35.994097 25.281146 4.760682
22 35.994097 25.583101 4.747184
23 35.994097 25.972801 4.267317
24 35.994097 26.425782 4.366384
25 35.994097 26.679758 4.28821
26 35.994097 27.092219 4.04828
27 35.994097 27.573964 4.274086
28 35.994097 27.884814 4.172678
29 35.994097 27.877774 4.251902
30 35.994097 28.067758 4.003141
31 35.994097 27.855264 4.513972
32 35.994097 27.760322 4.490117
33 35.994097 28.177273 4.317222
34 35.994097 28.129679 4.458027
35 35.994097 28.756513 3.958733
36 40.942531 28.668871 4.955735
37 40.942531 29.196885 4.293308
38 40.942531 28.920939 5.055241
39 40.942531 29.526392 3.99726
40 40.942531 29.529482 4.628096
41 40.942531 30.116798 3.689093
42 40.942531 29.936544 4.056569
43 40.942531 30.193508 3.783292
44 40.942531 30.156164 3.843852
45 40.942531 29.753283 4.938799
46 40.942531 29.890789 4.52523
47 40.942531 30.491766 3.480363
48 40.942531 30.305319 4.173847
49 40.942531 30.423426 4.574496
50 40.942531 30.308545 4.907304
51 40.942531 30.296034 4.926282
52 40.942531 30.33476 4.817618
53 40.942531 30.554026 4.533634
54 40.942531 31.042269 4.149705
55 40.942531 30.523326 5.224415
56 40.942531 30.992198 4.64133
57 40.942531 31.25495 4.74422
58 40.942531 31.263637 5.026125
59 40.942531 31.93991 4.167621
60 40.942531 31.524544 4.735885
61 40.942531 31.829989 4.493004
62 40.942531 32.146626 4.214546
63 40.942531 32.605186 3.642352
64 40.942531 31.98722 5.455776
65 40.942531 32.136612 4.683112
66 40.942531 32.053907 5.057428
67 40.942531 31.587011 5.708713
68 40.942531 32.197475 4.757134
69 40.942531 31.821239 5.630493
70 40.942531 32.198162 4.989059
71 40.942531 32.45444 4.484114
72 40.942531 32.523523 4.583952
73 40.942531 32.068142 5.657301
74 40.942531 32.340369 5.542941
75 40.942531 32.987413 4.307965
76 40.942531 33.12569 4.441238
77 40.942531 32.907811 5.533851
78 40.942531 33.508581 4.303243
79 40.942531 33.026132 5.409977
80 40.942531 33.193315 4.656145
81 40.942531 33.286485 4.846417
82 42.498287 33.289755 4.938727
83 42.498287 33.940056 4.187621
84 42.498287 33.844565 4.979767
85 42.498287 33.592674 5.004988
86 42.498287 33.895353 4.908604
87 42.498287 33.707093 5.287673
88 42.498287 33.889871 4.709594
89 42.498287 34.111288 4.808291
90 42.498287 34.198228 4.838385
91 42.498287 34.547016 4.318712
92 42.498287 34.432807 4.624238
93 42.498287 33.923499 5.471252
94 42.498287 34.188611 5.030509
95 42.498287 34.100058 5.925716
96 42.498287 33.811262 5.960734
97 42.498287 34.470498 5.138094
98 42.498287 34.516899 5.263911
99 42.498287 34.617008 5.112521

gen best mean std
99 42.498287 34.617008 5.112521

gen best mean std
99 42.498287 34.617008 5.112521
