gen best mean std
0 19.283734 -5.685194 6.376481
1 19.283734 -3.391305 7.788615
2 28.825431 -0.799697 9.909597
3 28.825431 1.838442 10.469908
4 30.367720 5.063642 11.339476
5 30.367720 4.688252 11.998609
6 30.367720 5.307535 12.277037
7 30.367720 8.016531 11.156606
8 30.367720 7.204130 12.207986
9 30.367720 8.455795 11.547242
10 30.367720 9.701556 11.624559
11 36.776565 12.098134 11.319779
12 38.338746 12.515891 13.099716
13 38.338746 9.400539 12.313360
14 38.338746 5.437662 11.988550
15 38.338746 7.272668 12.311008
16 38.338746 9.217322 13.476741
17 38.338746 12.074316 10.617402
18 38.338746 13.360821 11.127199
19 38.338746 11.003264 14.914373
20 38.338746 11.757340 13.528527
21 38.338746 12.721414 13.274092
22 38.338746 15.012428 11.245907
23 38.469234 11.431078 13.466626
24 38.469234 12.977369 10.919491
25 38.469234 11.007810 11.929510
26 38.469234 8.369013 13.116765
27 38.469234 10.699421 13.074927
28 38.469234 9.781488 13.114598
29 39.900363 11.634921 12.118467
30 39.900363 10.081191 13.728534
31 39.900363 9.711017 12.581408
32 39.900363 9.071160 12.927732
33 39.900363 11.089009 12.903756
34 39.900363 11.635046 12.584078
35 39.900363 10.689035 13.119878
36 39.900363 6.245135 14.512283
37 39.900363 11.535487 14.045248
38 39.900363 9.916601 12.946324
39 39.900363 9.211532 12.671884
40 39.900363 11.006645 13.000556
41 39.900363 10.689480 13.110885
42 39.900363 10.882049 12.654374
43 39.900363 8.523389 13.515996
44 39.900363 11.748768 12.142002
45 39.900363 8.754621 13.614650
46 39.900363 11.537642 12.881839
47 39.900363 10.120952 12.792569
48 39.900363 9.432206 13.419856
49 39.900363 10.766771 12.689266
50 39.900363 11.907647 12.319901
51 39.900363 10.320632 12.492204
52 39.900363 11.675273 12.586949
53 39.900363 10.894094 13.157345
54 39.900363 12.960812 12.257126
55 39.900363 10.175933 13.130959
56 39.900363 11.450022 13.120081
57 39.900363 10.870452 12.595494
58 39.900363 9.865078 12.651252
59 39.900363 13.184535 12.166834
60 40.133587 11.543294 13.090153
61 40.133587 11.661193 13.385645
62 40.133587 15.605735 12.886899
63 40.133587 13.999250 11.890734
64 40.133587 13.006404 12.934941
65 40.133587 14.996817 12.657798
66 40.133587 12.575271 12.786777
67 40.133587 12.130974 13.869586
68 40.133587 13.065108 12.555100
69 44.238162 13.893317 13.648863
70 44.238162 12.283853 14.153681
71 44.238162 10.919944 13.365312
72 44.238162 9.684743 14.589154
73 44.238162 13.465561 13.544343
74 44.238162 9.398900 12.858189
75 44.238162 11.743927 12.844828
76 44.238162 11.002243 13.757363
77 44.238162 9.980658 13.854423
78 44.238162 14.084386 12.918015
79 44.238162 11.514354 13.254088
80 44.238162 10.751934 13.708762
81 44.238162 13.118932 12.445925
82 44.238162 11.614119 12.779532
83 44.238162 10.810946 13.055211
84 44.238162 11.680679 12.711533
85 44.238162 11.409743 13.035542
86 44.238162 13.911848 13.346071
87 44.238162 14.521432 12.258749
88 44.238162 12.684152 13.352365
89 44.238162 11.723938 13.098894
90 44.238162 12.795946 13.029870
91 44.238162 12.096830 13.412213
92 44.238162 13.789098 12.494190
93 44.238162 12.597099 12.364509
94 44.238162 10.379525 12.482994
95 44.238162 12.735438 12.612071
96 44.238162 14.231239 12.222817
97 44.238162 12.482305 13.015227
98 44.238162 10.439396 13.100972
99 44.238162 11.703337 12.859729
