gen best mean std
0 20.483423 -5.488886 5.353117
1 26.995670 -2.295894 8.743408
2 26.995670 -0.340346 11.063040
3 30.966396 0.662820 10.822832
4 38.176988 4.195272 12.224007
5 39.130347 8.008082 13.505623
6 39.130347 9.175260 12.770931
7 39.130347 8.496151 12.389586
8 39.130347 8.021533 13.120645
9 40.507022 9.401407 12.960468
10 40.507022 5.928432 13.799887
11 40.507022 8.186792 13.483384
12 40.507022 8.563200 13.833511
13 40.507022 6.850235 13.349093
14 40.507022 8.639163 14.295836
15 40.507022 9.062271 14.225895
16 40.507022 6.341213 13.341433
17 40.507022 7.025101 14.152591
18 40.507022 7.228159 13.624033
19 40.507022 7.911329 12.658635
20 40.507022 8.282831 14.124128
21 40.507022 8.465214 14.747498
22 40.507022 7.769212 14.553490
23 40.507022 9.352620 13.170381
24 40.507022 8.878986 14.151312
25 44.102247 8.875681 13.259370
26 44.102247 7.463895 13.975335
27 44.102247 8.246151 13.588504
28 44.102247 7.967778 13.737646
29 44.102247 8.838610 13.036824
30 44.102247 7.244962 13.302583
31 44.102247 8.465275 13.290775
32 44.102247 8.255714 13.223622
33 44.102247 8.270747 13.146055
34 44.102247 6.604510 14.276469
35 44.102247 9.033732 12.994453
36 44.102247 9.153799 12.330706
37 44.102247 6.144688 13.593590
38 44.102247 8.484093 12.978201
39 44.102247 7.828369 14.300195
40 44.102247 9.177768 12.837736
41 44.102247 6.606642 12.800345
42 44.102247 7.299224 12.959734
43 44.102247 9.508836 12.420482
44 44.102247 9.337001 12.082921
45 44.102247 7.872102 12.775668
46 44.102247 8.696521 13.522766
47 44.102247 9.532227 13.057639
48 44.102247 9.545291 12.566348
49 44.102247 8.890166 12.574169
50 44.102247 9.119476 12.716466
51 44.102247 9.611590 13.563112
52 44.102247 6.734565 13.743570
53 44.102247 8.536460 13.528332
54 44.102247 10.359585 13.177655
55 44.102247 11.154293 12.062565
56 44.102247 8.624872 13.503394
57 44.102247 10.208867 13.769183
58 44.102247 9.737712 12.903497
59 44.102247 10.824879 12.066463
60 44.102247 8.591326 15.266059
61 44.102247 11.128362 12.619287
62 44.102247 10.293589 12.945402
63 44.102247 10.358870 13.697186
64 44.102247 7.652893 12.960069
65 44.102247 9.283583 12.224093
66 44.102247 8.947453 13.087965
67 44.102247 10.421809 13.587838
68 44.102247 8.849950 13.660216
69 44.102247 10.207796 14.315598
70 44.102247 10.293007 13.324128
71 44.102247 10.340812 13.538542
72 44.102247 9.195221 12.531789
73 44.102247 12.826364 12.772269
74 44.102247 9.265589 13.583799
75 44.102247 10.853602 12.013398
76 44.102247 8.428431 12.602637
77 44.102247 8.657945 13.145519
78 44.102247 8.566816 12.563698
79 44.102247 8.368412 13.149124
80 44.102247 9.851122 14.989588
81 44.102247 11.305866 14.022886
82 44.102247 8.946716 14.882104
83 44.102247 10.358839 13.083682
84 44.102247 9.441160 13.301611
85 44.102247 11.261006 12.753105
86 44.102247 9.848001 13.702308
87 44.102247 7.292498 14.380323
88 44.102247 8.511686 13.057833
89 44.102247 10.013442 13.780004
90 44.102247 10.394528 13.989553
91 44.102247 10.449374 12.943409
92 44.102247 10.141060 12.808777
93 44.102247 8.877878 14.002946
94 44.102247 10.201925 13.321110
95 44.102247 7.492452 12.852203
96 44.102247 8.562872 13.676841
97 44.102247 8.624335 12.473948
98 44.102247 6.771539 12.857853
99 44.102247 8.479541 13.284896
